courseId,genEdId
AFRO 212,1US
AFRO 474,1CLL
AFST 111,1HP
AFST 111,1NW
AGCM 220,1CLL
AIS 214,1US
AIS 214,1SS
AIS 277,1US
AIS 277,1HP
ANTH 104,1SS
ANTH 108,1HP
ANTH 108,1WCC
ANTH 143,1LS
ANTH 241,1LS
ANTH 248,1SS
ANTH 248,1NW
ANTH 259,1US
ANTH 259,1SS
ANTH 262,1SS
ANTH 278,1NW
ARCH 222,1HP
ARCH 222,1NW
ART 102,1LA
ARTH 219,1HP
ARTH 219,1NW
ASST 104,1HP
ASST 104,1NW
BCS 115,1SS
BCS 115,1NW
BIOC 460,1CLL
CHBE 101,1PS
CHEM 202,1PS
CHLH 244,1QR1
CHLH 274,1QR1
CLCV 160,1HP
CLCV 160,1WCC
CLCV 221,1WCC
CLCV 221,1LA
CLCV 222,1CLL
CLCV 222,1WCC
CLCV 222,1LA
CLCV 240,1WCC
CLCV 240,1LA
CMN 111,1FC1
CMN 280,1SS
CPSC 112,1LS
CPSC 270,1LS
CWL 114,1LA
CWL 114,1NW
CWL 117,1LA
CWL 189,1LA
CWL 189,1NW
CWL 201,1LA
CWL 209,1US
CWL 209,1LA
CWL 212,1WCC
CWL 212,1LA
CWL 241,1CLL
CWL 241,1WCC
CWL 241,1LA
CWL 251,1HP
CWL 251,1WCC
CWL 262,1WCC
CWL 262,1LA
CWL 263,1WCC
CWL 263,1LA
CWL 264,1CLL
CWL 264,1WCC
CWL 264,1LA
CWL 311,1LA
CWL 311,1NW
CWL 320,1WCC
CWL 320,1LA
DANC 125,1US
DANC 200,1LA
DANC 345,1LS
EALC 305,1LA
EALC 305,1NW
ENGL 122,1LA
ENGL 213,1WCC
ENGL 213,1LA
ENGL 219,1LA
ENGL 222,1US
ENGL 222,1LA
ENGL 225,1US
ENGL 225,1LA
ENGL 253,1LA
ENGL 330,1US
ENGL 330,1LA
ENGL 359,1WCC
ENGL 359,1LA
ENGL 477,1CLL
ENVS 220,1CLL
EPOL 316,1US
EPOL 316,1HP
EPOL 402,1US
EPOL 402,1CLL
EPS 380,1US
EPS 380,1HP
EPS 402,1US
EPS 402,1CLL
ESE 106,1SS
ESE 106,1NW
ESE 143,1LS
ESE 477,1CLL
FR 156,1WCC
FR 156,1LA
GEOG 104,1SS
GEOG 106,1SS
GEOG 106,1NW
GEOG 221,1SS
GEOL 143,1LS
GEOL 201,1HP
GEOL 201,1CLL
GEOL 350,1QR2
GER 331,1LA
GLBL 221,1SS
GLBL 481,1CLL
GWS 201,1WCC
GWS 230,1US
GWS 240,1WCC
GWS 240,1LA
GWS 262,1SS
GWS 263,1US
GWS 263,1HP
GWS 275,1US
GWS 285,1US
GWS 285,1HP
GWS 305,1CLL
HDFS 143,1LS
HIST 103,1HP
HIST 103,1WCC
HIST 104,1US
HIST 104,1HP
HIST 111,1HP
HIST 111,1NW
HIST 142,1HP
HIST 142,1WCC
HIST 143,1HP
HIST 143,1CLL
HIST 143,1WCC
HIST 168,1HP
HIST 168,1CLL
HIST 170,1US
HIST 170,1HP
HIST 170,1CLL
HIST 203,1HP
HIST 205,1HP
HIST 205,1NW
HIST 236,1HP
HIST 236,1WCC
HIST 255,1HP
HIST 255,1WCC
HIST 260,1HP
HIST 260,1WCC
HIST 262,1HP
HIST 262,1WCC
HIST 263,1US
HIST 263,1HP
HIST 272,1HP
HIST 272,1WCC
HIST 273,1HP
HIST 277,1US
HIST 277,1HP
HIST 283,1US
HIST 283,1HP
HIST 285,1US
HIST 285,1HP
HIST 478,1CLL
IB 110,1US
IB 110,1LS
IB 203,1CLL
IB 220,1LS
IHLT 230,1SS
IHLT 240,1BSC
IS 203,1QR2
ITAL 156,1WCC
ITAL 156,1LA
JS 108,1HP
JS 108,1WCC
JS 120,1HP
JS 120,1CLL
JS 201,1HP
JS 201,1WCC
JS 209,1US
JS 209,1LA
JS 212,1WCC
JS 212,1LA
JS 262,1HP
JS 262,1WCC
JS 320,1WCC
JS 320,1LA
LA 222,1HP
LA 222,1NW
LAST 232,1US
LAW 301,1HP
LEAD 230,1SS
LEAD 230,1CLL
LEAD 340,1US
LING 104,1SS
LING 210,1HP
LLS 200,1US
LLS 200,1HP
LLS 230,1US
LLS 242,1US
LLS 242,1LA
LLS 259,1US
LLS 259,1SS
LLS 305,1CLL
LLS 360,1US
LLS 360,1LA
LLS 385,1CLL
MACS 261,1LA
MATH 119,1QR1
MATH 221,1QR1
MCB 170,1LS
MDVL 122,1LA
MDVL 251,1HP
MDVL 251,1WCC
MDVL 255,1HP
MDVL 255,1WCC
MSE 101,1PS
MSE 307,1CLL
MUS 313,1LA
NPRE 481,1CLL
NRES 103,1LS
NRES 220,1CLL
NRES 224,1US
NRES 224,1SS
NRES 270,1LS
NRES 419,1CLL
PHIL 105,1HP
PHIL 108,1HP
PHIL 108,1WCC
PHIL 210,1HP
PHIL 214,1HP
PHIL 230,1HP
PHIL 250,1HP
PS 152,1SS
PS 152,1NW
PS 214,1US
PS 214,1SS
PS 240,1SS
PS 282,1SS
PS 282,1CLL
PSYC 236,1HP
PSYC 236,1WCC
PSYC 498,1CLL
REES 116,1WCC
REES 116,1LA
REES 200,1SS
REL 104,1HP
REL 104,1NW
REL 108,1HP
REL 108,1WCC
REL 120,1HP
REL 120,1CLL
REL 134,1US
REL 160,1HP
REL 160,1WCC
REL 212,1HP
REL 212,1WCC
REL 214,1HP
REL 214,1NW
REL 230,1HP
REL 251,1HP
REL 251,1WCC
REL 260,1LA
REL 260,1NW
REL 320,1WCC
REL 320,1LA
RHET 101,1FC1
RUSS 115,1WCC
RUSS 115,1LA
SAME 152,1SS
SAME 152,1NW
SAME 212,1WCC
SAME 212,1LA
SAME 214,1HP
SAME 214,1NW
SAME 260,1LA
SAME 260,1NW
SCAN 251,1HP
SCAN 251,1WCC
SLAV 117,1LA
SOC 161,1SS
SOC 161,1WCC
SOC 162,1SS
SOC 162,1WCC
SOC 201,1WCC
SPAN 242,1US
SPAN 242,1LA
SPAN 248,1US
SPAN 248,1LA
THEA 208,1LA
THEA 210,1CLL
THEA 210,1WCC
THEA 210,1LA
THEA 260,1US
THEA 263,1US
TRST 201,1LA
UP 136,1SS
UP 205,1LS
UP 260,1SS
UP 312,1CLL
YDSH 320,1WCC
YDSH 320,1LA
AFST 222,1NW
ANTH 222,1NW
CWL 250,1CLL
CWL 250,1WCC
CWL 250,1LA
ENGL 267,1CLL
ENGL 267,1WCC
ENGL 267,1LA
GER 250,1CLL
GER 250,1WCC
GER 250,1LA
GLBL 228,1HP
HIST 164,1HP
HIST 164,1WCC
HIST 257,1HP
PS 242,1NW
REL 106,1HP
REL 106,1CLL
SOC 222,1NW
AAS 265,1US
AFRO 340,1US
AFRO 340,1HP
AGED 260,1SS
ANTH 175,1HP
ANTH 224,1SS
ANTH 271,1CLL
ANTH 277,1SS
ANTH 277,1WCC
ARTH 241,1LA
ARTH 260,1WCC
